Entity,Code,Year,Solar (TWh growth – sub method),Coal (TWh growth – sub method),Gas (TWh growth – sub method),Other renewables (TWh growth – sub method),Nuclear (TWh growth – sub method),Hydro (TWh growth – sub method),Wind (TWh growth – sub method),Oil (TWh growth – sub method)
Africa,,1966,0,-0.374,1.126,0,0,4.457,0,30.809
Africa,,1967,0,7.169,-0.124,0,0,1.891,0,-2.876
Africa,,1968,0,13.221,0.143,0,0,7.633,0,19.561
Africa,,1969,0,3.13,1.803,0,0,8.785,0,5.142
Africa,,1970,0,14.114,3.028,0,0,15.36,0,39.871
Africa,,1971,0,22.255,2.885,0.456,0,-4.492,0,54.634
Africa,,1972,0,1.198,6.265,0.003,0,10.055,0,39.686
Africa,,1973,0,24.7,14.881,0.014,0,4.757,0,38.714
Africa,,1974,0,16.736,4.967,0.014,0,12.004,0,18.588
Africa,,1975,0,25.434,9.12,-0.008,0,5.697,0,26.395
Africa,,1976,0,29.994,7.343,0.036,0,11.332,0,65.785
Africa,,1977,0,10.624,7.253,0.011,0,11.475,0,38.895
Africa,,1978,0,-13.883,29.136,0.017,0,1.05,0,37.05
Africa,,1979,0,29.431,51.473,0.017,0,9.051,0,48.978
Africa,,1980,0,36.31,38.071,0.017,0,-3.482,0,45.744
Africa,,1981,0,92.242,41.577,0.031,0,5.225,0,53.502
Africa,,1982,0,65.377,18.242,0.05,0,0.037,0,44.163
Africa,,1983,0,12.07,24.542,-0.017,0,-13.775,0,31.607
Africa,,1984,0,49.652,-11.373,0.011,10.903,-2.103,0,20.491
Africa,,1985,0,24.268,18.94,0.097,3.861,13.777,0,22.094
Africa,,1986,0,18.19,34.428,1.083,9.689,4.71,0,-14.885
Africa,,1987,0,22.964,10.113,-0.003,-7.322,-5.803,0,50.043
Africa,,1988,0,61.841,35.06,-0.089,12.017,12.603,0,48.496
Africa,,1989,0,-54.54,13.027,-0.025,1.683,7.452,0,40.16
Africa,,1990,0,42.189,27.174,0.413,-7.361,2.718,0,17.824
Africa,,1991,0,-24.615,2.99,0.062,1.931,9.436,0,7.936
Africa,,1992,0,5.106,19.635,0.101,0.4,-7.753,0,26.632
Africa,,1993,0,13.314,-8.626,0.254,-5.647,-3.272,0.006,13.752
Africa,,1994,0,22.554,19.184,-0.263,6.783,2.538,0.009,27.555
Africa,,1995,0,27.634,29.416,0.555,4.456,6.036,0.003,42.75
Africa,,1996,0,12.749,22.948,0.665,1.317,7.077,0.002,31.468
Africa,,1997,0,23.77,-9.716,0.357,2.422,4.267,0,35.16
Africa,,1998,0,-22.014,24.861,0.905,2.65,7.784,0.001,32.197
Africa,,1999,0,29.173,4.683,-0.051,-2.122,11.193,0.034,48.976
Africa,,2000,0.037,-2.207,52.803,1.591,0.481,12.671,0.434,7.849
Africa,,2001,0.009,12.314,85.844,0.142,-6.557,14.148,0.659,18.326
Africa,,2002,0.008,-41.487,38.598,-0.176,3.297,10.398,0.071,26.141
Africa,,2003,0.009,82.612,42.46,0.875,1.62,-7.787,0.255,39.152
Africa,,2004,0.012,101.577,64.17,0.934,1.681,10.832,0.608,71.616
Africa,,2005,0.013,-80.259,29.463,0.031,-5.804,2.968,0.022,79.448
Africa,,2006,0.022,14.735,35.653,1.982,-3.577,6.979,0.174,11.373
Africa,,2007,0.033,17.418,55.051,-1.732,3.262,6.693,0.42,55.762
Africa,,2008,0.057,109.3,39.724,0.277,4.267,3.223,0.764,96.725
Africa,,2009,0.059,-5.056,7.978,0.711,-0.731,5.248,0.707,66.354
Africa,,2010,0.3,-10.284,33.404,0.638,1.674,18.382,1.785,94.384
Africa,,2011,0.616,-19.51,82.916,0.199,-1.835,6.113,0.62,-53.689
Africa,,2012,0.246,-28.547,78.991,0.351,-0.034,-0.427,1.053,104.869
Africa,,2013,0.691,14.552,15.225,0.83,2.714,15.485,1.485,72.535
Africa,,2014,2.55,53.824,32.623,2.767,-1.01,13.603,4.013,35.235
Africa,,2015,4.436,-65.939,85.681,3.921,-4.148,-11.664,9.358,48.453
Africa,,2016,3.325,68.617,35.624,0.071,9.062,-11.993,5.947,19.662
Africa,,2017,5.039,-4.59,80.659,0.804,-0.628,18.323,2.714,12.71
Africa,,2018,7.021,41.162,87.244,1.103,-11.827,14.524,4.365,23.093
Africa,,2019,23.503,18.619,13.148,0.235,7.633,4.617,7.843,56.832
Algeria,DZA,1966,0,-0.023,0.289,0,0,-0.125,0,4.867
Algeria,DZA,1967,0,-0.186,-0.231,0,0,0.153,0,-1.331
Algeria,DZA,1968,0,0.035,0.385,0,0,0.425,0,1.225
Algeria,DZA,1969,0,0.174,2.478,0,0,-0.561,0,1.139
Algeria,DZA,1970,0,0.151,-0.621,0,0,0.608,0,3.042
Algeria,DZA,1971,0,-0.698,1.319,0,0,-0.694,0,3.092
Algeria,DZA,1972,0,-0.035,1.781,0,0,0.458,0,2.681
Algeria,DZA,1973,0,0.035,5.029,0,0,0.714,0,2.779
Algeria,DZA,1974,0,-0.047,2.815,0,0,-0.708,0,3.643
Algeria,DZA,1975,0,0.058,7.816,0,0,-0.469,0,4.087
Algeria,DZA,1976,0,0.267,5.198,0,0,0.169,0,6.087
Algeria,DZA,1977,0,0.163,2.214,0,0,-0.333,0,6.089
Algeria,DZA,1978,0,-0.349,21.753,0,0,-0.053,0,1.801
Algeria,DZA,1979,0,0.477,23.87,0,0,0.114,0,10.711
Algeria,DZA,1980,0,-0.093,27.913,0,0,-0.094,0,0.884
Algeria,DZA,1981,0,-0.221,32.821,0,0,0.303,0,5.121
Algeria,DZA,1982,0,9.188,19.154,0,0,0.314,0,4.25
Algeria,DZA,1983,0,-1.047,15.304,0,0,-0.678,0,9.319
Algeria,DZA,1984,0,0.942,-21.464,0,0,0.603,0,9.11
Algeria,DZA,1985,0,0.419,-1.444,0,0,0.539,0,2.552
Algeria,DZA,1986,0,0.267,14.63,0,0,-1.1,0,1.467
Algeria,DZA,1987,0,2.012,3.85,0,0,0.692,0,1.079
Algeria,DZA,1988,0,-0.733,21.849,0,0,-0.878,0,0.072
Algeria,DZA,1989,0,-1.791,-11.454,0,0,0.119,0,4.764
Algeria,DZA,1990,0,-2.117,12.416,0,0,-0.253,0,7.875
Algeria,DZA,1991,0,0.244,-2.406,0,0,0.439,0,-1.184
Algeria,DZA,1992,0,1.489,6.256,0,0,-0.261,0,0.665
Algeria,DZA,1993,0,-1.745,-20.405,0,0,0.428,0,-0.538
Algeria,DZA,1994,0,-0.442,9.625,0,0,-0.519,0,-4.704
Algeria,DZA,1995,0,0,14.053,0,0,0.075,0,-2.909
Algeria,DZA,1996,0,-3.815,5.486,0,0,-0.161,0,-4.72
Algeria,DZA,1997,0,2.559,-13.668,0,0,-0.167,0,-0.779
Algeria,DZA,1998,0,0.419,6.641,0,0,0.389,0,3.015
Algeria,DZA,1999,0,0.454,4.428,0,0,-0.033,0,-1.76
Algeria,DZA,2000,0,-1.186,-14.096,0,0,-0.414,0,4.234
Algeria,DZA,2001,0,0.872,6.309,0,0,0.04,0,3.643
Algeria,DZA,2002,0,2.035,-2.483,0,0,-0.034,0,11.622
Algeria,DZA,2003,0,-1.5,11.093,0,0,0.566,0,4.777
Algeria,DZA,2004,0,1.361,5.968,0,0,-0.042,0,5.573
Algeria,DZA,2005,0,-1.5,11.661,0,0,0.814,0,5.467
Algeria,DZA,2006,0,3.349,4.938,0,0,-0.912,0,5.632
Algeria,DZA,2007,0,-1.454,5.309,0,0,0.019,0,16.544
Algeria,DZA,2008,0,0,10.235,0,0,0.147,0,13.526
Algeria,DZA,2009,0,-3.152,18.076,0,0,0.15,0,10.219
Algeria,DZA,2010,0.024,-2.047,-8.845,0,0,-0.446,0,-0.086
Algeria,DZA,2011,0.023,-0.407,14.697,0,0,0.528,0,12.179
Algeria,DZA,2012,0.022,0.198,30.771,0,0,0.022,0,12.168
Algeria,DZA,2013,0.004,-1.558,22.474,0,0,-0.749,0,9.181
Algeria,DZA,2014,0.079,0.244,39.703,0,0,0.238,0.003,8.349
Algeria,DZA,2015,-0.006,-0.535,18.307,0,0,-0.124,0.046,14.223
Algeria,DZA,2016,0.469,-0.977,6.738,0,0,-0.186,0,-6.707
Algeria,DZA,2017,0.644,1.547,8.663,0,0,-0.041,0,-4.119
Algeria,DZA,2018,0.239,3.698,39.463,0,0,0.151,-0.023,5.031
Algeria,DZA,2019,0.024,0,18.288,0,0,0.084,0,14.573
Argentina,ARG,1966,0,-1.483,3.423,0,0,0.044,0,8.426
Argentina,ARG,1967,0,0.869,2.042,0,0,0.083,0,6.622
Argentina,ARG,1968,0,-0.221,5.3,0,0,0.631,0,5.821
Argentina,ARG,1969,0,1.503,-0.195,0,0,-0.428,0,10.974
Argentina,ARG,1970,0,2.6,6.739,0.132,0,0.586,0,-29.822
Argentina,ARG,1971,0,-1.445,4.658,0.006,0,-0.031,0,17.815
Argentina,ARG,1972,0,-1.626,7.722,0.04,0,-0.111,0,0.382
Argentina,ARG,1973,0,0.845,9.783,-0.043,0,4.139,0,0.961
Argentina,ARG,1974,0,2.329,4.717,0.003,2.878,5.65,0,0.986
Argentina,ARG,1975,0,-0.315,2.101,0.013,4.114,0.481,0,-16.364
Argentina,ARG,1976,0,0.132,10.989,-0.013,0.153,-0.522,0,10.321
Argentina,ARG,1977,0,-0.634,4.376,0.01,-2.597,2.092,0,14.978
Argentina,ARG,1978,0,2.411,-2.82,0.001,3.497,5.517,0,-0.011
Argentina,ARG,1979,0,-0.918,2.82,0.084,-0.567,8.078,0,16.82
Argentina,ARG,1980,0,-1.357,9.239,0.005,-0.978,12.456,0,-19.79
Argentina,ARG,1981,0,-0.584,5.057,-0.032,1.322,-1.275,0,-21.025
Argentina,ARG,1982,0,0.106,15.949,0.059,-2.628,8.078,0,-10.913
Argentina,ARG,1983,0,-0.986,10.017,0.115,4.264,2.294,0,4.617
Argentina,ARG,1984,0,-2.495,9.239,-0.111,3.433,4.058,0,-14.95
Argentina,ARG,1985,0,3.414,3.307,0.016,3.125,2.128,0,-23.484
Argentina,ARG,1986,0,1.51,12.545,0.01,-0.153,1.008,0,33.077
Argentina,ARG,1987,0,1.33,0.097,0.003,2.094,2.311,0,17.203
Argentina,ARG,1988,0,0.333,28.3,0.036,-1.853,-18.911,0,-0.754
Argentina,ARG,1989,0,1.13,9.92,-0.005,-2.108,-5.744,0,-25.24
Argentina,ARG,1990,0,-2.637,-9.239,-0.035,6.228,13.642,0,-13.347
Argentina,ARG,1991,0,-1.472,3.598,-0.02,1.319,-4.597,0,7.059
Argentina,ARG,1992,0,1.374,16.338,0.006,-1.875,9.883,0,13.542
Argentina,ARG,1993,0,-4.098,12.156,0.015,1.858,10.49,0,-2.416
Argentina,ARG,1994,0,-1.005,6.419,0.033,1.347,12.27,0,-8.389
Argentina,ARG,1995,0,0.349,26.647,-0.01,-3.247,1.348,0,-1.338
Argentina,ARG,1996,0,0.353,38.706,0.655,1.092,-6.98,0.027,9.523
Argentina,ARG,1997,0,-1.639,-23.632,0.262,1.394,19.68,0.014,0.305
Argentina,ARG,1998,0,2.11,19.158,0.051,-1.411,-1.689,0.05,5.563
Argentina,ARG,1999,0,1.648,17.991,0.518,-0.964,-16.366,0.006,-17.726
Argentina,ARG,2000,0,-2.373,8.266,0.068,-2.581,20.844,0,2.411
Argentina,ARG,2001,0,-1.356,-20.617,-0.193,2.323,21.103,0.04,-8.862
Argentina,ARG,2002,0,-1.571,-7.975,0.65,-3.52,-1.942,0.065,-18.241
Argentina,ARG,2003,0,1.008,41.915,0.431,4.652,-7.232,0.011,6.27
Argentina,ARG,2004,0,3.926,31.801,-0.326,0.689,-10.632,-0.016,11.503
Argentina,ARG,2005,0,1.442,24.799,0.452,-2.814,10.011,-0.003,14.64
Argentina,ARG,2006,0,-1.038,13.615,1.3,2.15,10.758,-0.007,12.673
Argentina,ARG,2007,0,4.437,20.617,-0.004,-1.369,-16.356,-0.023,28.799
Argentina,ARG,2008,0,3.156,4.765,0.285,0.25,-2.053,-0.053,8.196
Argentina,ARG,2009,0,-7.895,-13.532,0.065,1.949,8.796,-0.014,-6.134
Argentina,ARG,2010,0,3.851,2.519,0.714,-2.669,-1.282,-0.031,35.472
Argentina,ARG,2011,0.004,1.147,17.524,0.427,-2.214,-2.982,0.003,0.46
Argentina,ARG,2012,0.017,-0.949,18.244,0.645,-0.095,-7.745,0.884,12.978
Argentina,ARG,2013,0.018,1.27,3.635,-0.029,-0.599,9.218,0.208,24.459
Argentina,ARG,2014,0.002,0.952,1.273,-0.433,-1.859,-0.207,0.416,-7.117
Argentina,ARG,2015,-0.003,-0.078,4.976,0.158,3.774,1.675,-0.076,10.218
Argentina,ARG,2016,-0.001,-3.625,15.574,-1.079,3.028,-9.469,-0.125,-7.917
Argentina,ARG,2017,0.005,0.337,0.9,1.022,-5.615,7.656,0.152,-9.479
Argentina,ARG,2018,0.228,1.184,4.042,0.235,1.86,-0.347,1.982,-15.583
Argentina,ARG,2019,1.711,-7.361,-12.136,-0.258,3.824,-11.725,8.86,-4.984
Australia,AUS,1966,0,7.361,0.01,-0.033,0,-0.958,0,32.93
Australia,AUS,1967,0,5.861,0,0.017,0,0.724,0,20.34
Australia,AUS,1968,0,6.444,0.265,-0.022,0,0.958,0,20.897
Australia,AUS,1969,0,7.583,3.822,-0.003,0,2.038,0,7.163
Australia,AUS,1970,0,2.417,13.177,-0.056,0,4.129,0,27.747
Australia,AUS,1971,0,0.875,8.523,0.006,0,3.713,0,15.349
Australia,AUS,1972,0,10.361,11.248,0.047,0,0.127,0,5.489
Australia,AUS,1973,0,10.056,9.995,0.161,0,2.035,0,20.86
Australia,AUS,1974,0,11.083,6.633,0.253,0,4.411,0,19.842
Australia,AUS,1975,0,8.472,3.968,0.167,0,2.816,0,-3.631
Australia,AUS,1976,0,9.25,10.407,-0.014,0,-2.039,0,7.717
Australia,AUS,1977,0,12.389,9.691,-0.153,0,-1.694,0,16.779
Australia,AUS,1978,0,7.681,5.957,-0.067,0,3.143,0,2.713
Australia,AUS,1979,0,13.681,12.65,0.036,0,-1.192,0,6.494
Australia,AUS,1980,0,9.222,14.291,-0.092,0,-2.165,0,-15.622
Australia,AUS,1981,0,8.375,9.279,0.053,0,1.11,0,-11.842
Australia,AUS,1982,0,3.542,-2.964,0.311,0,-3.044,0,1.633
Australia,AUS,1983,0,-0.125,10.094,-0.236,0,-1.796,0,-6.153
Australia,AUS,1984,0,19.347,-1.758,0.028,0,2.784,0,16.642
Australia,AUS,1985,0,12.236,8.635,0.042,0,2.263,0,-16.393
Australia,AUS,1986,0,9.347,12.377,0.011,0,0.237,0,8.21
Australia,AUS,1987,0,15.875,3.065,0.028,0,-1.144,0,6.822
Australia,AUS,1988,0,20.403,3.599,0.725,0,2.002,0,17.323
Australia,AUS,1989,0,20.194,13.882,0.219,0,-0.224,0,13.747
Australia,AUS,1990,0,10.389,0.884,-0.14,0,1.405,0,5.767
Australia,AUS,1991,0.015,8.917,-6.938,-0.111,0,2.483,0,-11.115
Australia,AUS,1992,0.018,2.694,5.549,-0.138,0,0.8,0,1.728
Australia,AUS,1993,0.007,2.931,6.124,0,0,1.238,0.006,19.931
Australia,AUS,1994,0.008,9.375,19.073,0.074,0,-0.658,0.01,15.656
Australia,AUS,1995,0.01,15.903,1.849,0.358,0,-1.442,0.004,13.419
Australia,AUS,1996,0.012,19.792,1.411,0.336,0,0.938,0,6.892
Australia,AUS,1997,0.014,25.5,-3.522,0.14,0,-0.044,0.001,8.081
Australia,AUS,1998,0.014,23.625,5.648,0.233,0,-0.429,0.029,-0.561
Australia,AUS,1999,0.014,34.286,4.787,0.146,0,1.343,0.069,14.174
Australia,AUS,2000,0.017,4.214,3.81,-0.678,0,0.514,0.253,-2.489
Australia,AUS,2001,0.02,-5.972,16.142,-0.27,0,-1.244,0.42,2.989
Australia,AUS,2002,0.01,13.183,6.455,1.273,0,-0.365,0.671,-1.546
Australia,AUS,2003,0.012,17.15,1.795,1.136,0,0.032,0.455,-0.307
Australia,AUS,2004,0.025,25.886,4.593,3.012,0,-1.699,0.234,13.285
Australia,AUS,2005,0.029,-3.701,-1.946,2.792,0,-0.863,1.342,-3.166
Australia,AUS,2006,0.035,17.283,26.841,0.099,0,-1.653,2.285,39.182
Australia,AUS,2007,0.042,-5.684,30.768,0.844,0,-5.286,1.797,-6.148
Australia,AUS,2008,0.065,27.492,-4.849,-1.599,0,-3.472,1.554,0.653
Australia,AUS,2009,0.394,-22.431,6.015,-2.446,0,1.977,2.513,-3.031
Australia,AUS,2010,1.788,-47.461,46.472,-0.945,0,2.675,1.355,-4.545
Australia,AUS,2011,2.749,-15.336,14.995,0.304,0,14.879,3.671,32.816
Australia,AUS,2012,0.914,-37.594,1.076,1.309,0,-6.84,3.229,20.852
Australia,AUS,2013,3.638,-28.222,17.828,0.551,0,4.992,3.808,10.083
Australia,AUS,2014,2.752,-4.356,29.264,0.495,0,-12.012,1.176,6.067
Australia,AUS,2015,3.099,18.531,20.071,0.279,0,-1.228,5.067,-20.327
Australia,AUS,2016,3.097,-0.354,-3.809,-0.118,0,8.705,2.81,4.565
Australia,AUS,2017,3.596,-18.512,-4.838,-0.361,0,-10.582,0.229,25.545
Australia,AUS,2018,8.125,-9.109,1.851,0.007,0,9.38,7.801,15.126
Australia,AUS,2019,13.931,-17.067,123.13,0.021,0,-7.741,7.558,-4.552
Austria,AUT,1966,0,-2.647,1.292,0,0,3.467,0,6.491
Austria,AUT,1967,0,-3.017,-0.789,0,0,1.019,0,4.759
Austria,AUT,1968,0,-0.677,1.197,0,0,1.353,0,11.918
Austria,AUT,1969,0,-0.837,4.1,0,0,-4.075,0,8.76
Austria,AUT,1970,0,3.918,4.969,0,0,12.699,0,9.818
Austria,AUT,1971,0,-4.621,4.209,0,0,-12.416,0,12.563
Austria,AUT,1972,0,-4.78,2.623,0,0,1.299,0,9.516
Austria,AUT,1973,0,-0.284,3.481,0,0,5.338,0,10.805
Austria,AUT,1974,0,2.553,3.241,0,0,9.731,0,-14.7
Austria,AUT,1975,0,-6.382,-0.05,0,0,3.008,0,1.332
Austria,AUT,1976,0,2.719,5.808,0,0,-8.971,0,10.852
Austria,AUT,1977,0,-7.26,0.91,0,0,12.098,0,-5.825
Austria,AUT,1978,0,0.602,1.948,0,0,0.056,0,9.983
Austria,AUT,1979,0,3.284,-0.428,0,0,8.767,0,5.839
Austria,AUT,1980,0,1.149,-1.966,0,0,2.814,0,-3.521
Austria,AUT,1981,0,1.015,-2.25,0,0,4.826,0,-13.257
Austria,AUT,1982,0,-2.144,-1.469,0,0,0.136,0,-6.73
Austria,AUT,1983,0,2.95,0.902,0,0,-0.806,0,-3.821
Austria,AUT,1984,0,6.231,5.133,0,0,-10.435,0,-3.281
Austria,AUT,1985,0,-0.071,3.602,0,0,10.904,0,0.187
Austria,AUT,1986,0,-5.513,-1.57,3.576,0,0.358,0,6.232
Austria,AUT,1987,0,-0.363,2.265,-1.06,0,12.456,0,3.642
Austria,AUT,1988,0,-1.906,-2.301,0.392,0,-0.233,0,-0.882
Austria,AUT,1989,0,0.194,3.875,0.16,0,-0.616,0,-1.756
Austria,AUT,1990,0,4.413,5.675,0.106,0,-9.926,0,4.968
Austria,AUT,1991,0,2.332,3.729,0.232,0,-0.182,0,10.265
Austria,AUT,1992,0,-11.09,-1.182,0.287,0,9.458,0,-3.652
Austria,AUT,1993,0.003,-3.923,3.33,0.089,0,5.159,0,1.119
Austria,AUT,1994,0,0.496,1.939,-0.418,0,-2.772,0,-1.179
Austria,AUT,1995,0,4.884,6.406,1.796,0,3.777,0.003,-0.314
Austria,AUT,1996,0,0.172,4.904,-0.744,0,-7.92,0.011,4.674
Austria,AUT,1997,0.003,2.458,-2.935,0.339,0,5.248,0.042,2.195
Austria,AUT,1998,0,-5.139,2.082,0.365,0,2.939,0.069,5.437
Austria,AUT,1999,0,-0.26,1.72,-0.683,0,9.822,0.017,-2.543
Austria,AUT,2000,0.003,4.909,-3.722,-0.191,0,3.157,0.044,-3.031
Austria,AUT,2001,0.005,1.402,4.677,0.358,0,-4.564,0.289,12.1
Austria,AUT,2002,0.011,0.699,-1.397,-0.434,0,-1.347,0.082,3.255
Austria,AUT,2003,0.016,2.968,8.144,0.495,0,-19.81,0.441,12.927
Austria,AUT,2004,0.008,-0.971,0.863,0.912,0,9.026,1.504,-4.574
Austria,AUT,2005,0.008,-0.138,4.785,0.98,0,0.265,1.08,-0.676
Austria,AUT,2006,0.003,-0.04,-5.745,2.098,0,-4.474,1.104,-0.121
Austria,AUT,2007,0.005,-1.538,-4.823,2.135,0,3.119,0.726,-9.784
Austria,AUT,2008,0.015,-0.543,5.977,0.568,0,2.754,-0.102,-1.513
Austria,AUT,2009,0.049,-10.926,-2.366,-0.134,0,6.109,-0.183,-7.754
Austria,AUT,2010,0.103,5.87,7.809,0.415,0,-7.262,0.255,6.431
Austria,AUT,2011,0.22,1.059,-5.71,0.067,0,-11.298,-0.364,-10.137
Austria,AUT,2012,0.418,-2.865,-4.177,0.164,0,24.099,1.324,-0.074
Austria,AUT,2013,0.733,0.641,-4.237,-0.132,0,-5.18,1.731,4.534
Austria,AUT,2014,0.396,-3.201,-6.895,-0.701,0,-3.282,1.714,-5.985
Austria,AUT,2015,0.372,2.818,4.571,0.357,0,-10.626,2.458,-0.589
Austria,AUT,2016,0.386,-2.734,3.741,0.405,0,6.46,0.92,4.883
Austria,AUT,2017,0.416,1.272,7.277,0.505,0,-4.468,3.264,2.063
Austria,AUT,2018,0.401,-3.034,-3.829,-0.239,0,-2.189,-1.441,1.998
Austria,AUT,2019,-0.226,1.738,2.135,-0.21,0,7.316,3.424,3.105
Azerbaijan,AZE,1986,0,0,14.731,0,0,-1.412,0,4.632
Azerbaijan,AZE,1987,0,0,-1.818,0,0,0,0,-5.99
Azerbaijan,AZE,1988,0,0,-1.818,0,0,-0.295,0,2.316
Azerbaijan,AZE,1989,0,0,7.278,0,0,0,0,-2.442
Azerbaijan,AZE,1990,0,-0.035,2.998,0,0,2.666,0,4.694
Azerbaijan,AZE,1991,0,-0.256,-6.639,0,0,0.281,0,-3.594
Azerbaijan,AZE,1992,0,-0.64,-32.748,0,0,-0.033,0,-2.482
Azerbaijan,AZE,1993,0,-0.105,-30.003,0,0,1.885,0,-0.264
Azerbaijan,AZE,1994,0,0.012,-5.46,0,0,-1.656,0,-7.896
Azerbaijan,AZE,1995,0,-0.012,-0.912,0,0,-0.761,0,-8.482
Azerbaijan,AZE,1996,0,0,-20.912,0,0,-0.053,0,-7.905
Azerbaijan,AZE,1997,0,0,-2.73,0,0,0.486,0,-3.369
Azerbaijan,AZE,1998,0,-0.035,-3.646,0,0,0.664,0,3.471
Azerbaijan,AZE,1999,0,0,3.646,0,0,-1.236,0,-2.885
Azerbaijan,AZE,2000,0,0,-1.823,0,0,0.078,0,7.278
Azerbaijan,AZE,2001,0,0.035,22.911,0,0,-0.671,0,-26.996
Azerbaijan,AZE,2002,0,-0.012,0.214,0,0,1.948,0,-3.751
Azerbaijan,AZE,2003,0,0.012,1.93,0,0,1.19,0,7.08
Azerbaijan,AZE,2004,0,-0.024,13.429,0,0,0.729,0,3.973
Azerbaijan,AZE,2005,0,0.027,3.004,0,0,0.637,0,9.225
Azerbaijan,AZE,2006,0,0,5.384,0,0,-1.364,0,-6.686
Azerbaijan,AZE,2007,0,0.02,-11.908,0,0,-0.451,0,-3.258
Azerbaijan,AZE,2008,0,-0.014,12.638,0,0,-0.387,0,-10.799
Azerbaijan,AZE,2009,0,0,-14.664,0,0,0.164,0.006,-2.906
Azerbaijan,AZE,2010,0,0.022,-4.233,0,0,2.93,-0.004,-0.514
Azerbaijan,AZE,2011,0,-0.007,7.753,0,0,-2.052,-0.001,8.945
Azerbaijan,AZE,2012,0,-0.014,4.413,0,0,-2.244,0,2.229
Azerbaijan,AZE,2013,0.002,-0.007,0.415,0.172,0,-0.878,0.002,4.494
Azerbaijan,AZE,2014,0.005,-0.014,4.515,0.05,0,-0.505,0.004,-1.01
Azerbaijan,AZE,2015,0.004,0.014,12.921,0.009,0,0.835,0.006,0.808
Azerbaijan,AZE,2016,0.077,-0.022,-2.159,-0.011,0,0.785,0.046,-0.367
Azerbaijan,AZE,2017,0.004,0,-3.14,-0.007,0,-0.561,-0.002,0.487
Azerbaijan,AZE,2018,0.005,0,1.992,-0.011,0,0.028,0.149,2.654
Azerbaijan,AZE,2019,0.011,0,9.734,-0.001,0,-0.52,0.129,1.846
Bangladesh,BGD,1966,0,0,0,0,0,0,0,
Bangladesh,BGD,1967,0,0,0,0,0,0,0,
Bangladesh,BGD,1968,0,0,0,0,0,0,0,
Bangladesh,BGD,1969,0,0,0,0,0,0,0,
Bangladesh,BGD,1970,0,0,0,0,0,0,0,
Bangladesh,BGD,1971,0,0,0,0,0,0,0,
Bangladesh,BGD,1972,0,1.087,4.396,0,0,0.486,0,1.784
Bangladesh,BGD,1973,0,0.326,1.686,0,0,0.433,0,1.289
Bangladesh,BGD,1974,0,-0.157,0.605,0,0,-0.244,0,0.451
Bangladesh,BGD,1975,0,0.198,0.035,0,0,0.536,0,1.972
Bangladesh,BGD,1976,0,-0.017,2.128,0,0,0.161,0,1.117
Bangladesh,BGD,1977,0,0.064,1.023,0,0,-0.158,0,-0.226
Bangladesh,BGD,1978,0,-0.047,1.023,0,0,0.192,0,0.937
Bangladesh,BGD,1979,0,-0.372,1.64,0,0,0.225,0,1.652
Bangladesh,BGD,1980,0,0.363,1.582,0,0,-0.011,0,2.179
Bangladesh,BGD,1981,0,0.04,-0.505,0,0,0.117,0,0.602
Bangladesh,BGD,1982,0,0.314,4.061,0,0,-0.283,0,-0.272
Bangladesh,BGD,1983,0,-0.781,1.992,0,0,0.386,0,-2.074
Bangladesh,BGD,1984,0,-0.611,3.033,0,0,0.653,0,0.135
Bangladesh,BGD,1985,0,0.162,3.08,0,0,-0.439,0,2.057
Bangladesh,BGD,1986,0,0.291,3.29,0,0,-0.803,0,1.537
Bangladesh,BGD,1987,0,0.494,5.086,0,0,0.186,0,-0.33
Bangladesh,BGD,1988,0,0.041,6.045,0,0,0.439,0,0.039
Bangladesh,BGD,1989,0,0.058,2.298,0,0,0.681,0,1.958
Bangladesh,BGD,1990,0,1.819,3.243,0,0,-0.1,0,-0.714
Bangladesh,BGD,1991,0,-2.226,1.365,0,0,-0.128,0,-1.605
Bangladesh,BGD,1992,0,-0.064,4.263,0,0,-0.117,0,2.381
Bangladesh,BGD,1993,0,-0.616,6.132,0,0,-0.522,0,2.765
Bangladesh,BGD,1994,0,-0.023,3.483,0,0,0.664,0,1.088
Bangladesh,BGD,1995,0,3.389,6.438,0,0,-1.319,0,7.997
Bangladesh,BGD,1996,0,-1.686,4.941,0,0,1.019,0,0.753
Bangladesh,BGD,1997,0,1.709,-1.232,0,0,-0.056,0,5.27
Bangladesh,BGD,1998,0,-2.674,5.732,0,0,0.406,0,4.179
Bangladesh,BGD,1999,0,-0.546,6.939,0,0,-0.089,0,-4.872
Bangladesh,BGD,2000,0,3.302,6.778,0,0,-0.233,0,-0.696
Bangladesh,BGD,2001,0,0.233,10.85,0,0,0.66,0,7.679
Bangladesh,BGD,2002,0,0.18,5.279,0,0,-0.687,0,0.198
Bangladesh,BGD,2003,0.002,-0.186,8.073,0,0,-0.013,0,1.732
Bangladesh,BGD,2004,0.003,0.006,8.618,0,0,-0.013,0,-2.767
Bangladesh,BGD,2005,0.004,4.279,9.231,0,0,-0.013,0,0.293
Bangladesh,BGD,2006,0.005,4.336,11,0,0,-0.013,0.004,0.5
Bangladesh,BGD,2007,0.009,-2.332,9.73,0,0,-0.013,0,-2.563
Bangladesh,BGD,2008,0.016,0.545,10.401,0,0,0.518,0.003,0.713
Bangladesh,BGD,2009,0.026,2.719,23.703,0.003,0,-1.414,0.006,-2.941
